category,skill,definition,question,skeleton,autistic,non_autistic,autistic_skill_gpt-4o,non_autistic_skill_gpt-4o,autistic_skill_o1,non_autistic_skill_o1,autistic_skill_us.anthropic.claude-haiku-4-5-20251001-v1:0,non_autistic_skill_us.anthropic.claude-haiku-4-5-20251001-v1:0,autistic_skill_azure-llama3.3-70b,non_autistic_skill_azure-llama3.3-70b,autistic_skill_us.deepseek.r1-v1:0,non_autistic_skill_us.deepseek.r1-v1:0
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.",Describe how you adjusted when priorities or procedures were changed.,"Interviewee's Role:
- Junior Marketing Coordinator

The Situation:
- Company decided to shift focus from traditional marketing to digital marketing.

The Interviewee's Challenge:
- Limited experience with digital marketing tools and strategies.
- Uncertainty about new priorities and procedures.

Action(s) that the Interviewee Took:
- Attended a few online webinars on digital marketing.
- Tried to follow the new procedures without fully understanding them.

Final Result:
- Struggled to keep up with the new priorities.
- Made several mistakes due to lack of knowledge.
- Required significant assistance from colleagues to complete tasks.","When the company shifted focus to digital marketing, I was a Junior Marketing Coordinator. I had limited experience with digital tools and strategies, so I attended a few online webinars to learn more. I tried to follow the new procedures, but I didn't fully understand them. This led to me struggling to keep up with the new priorities and making several mistakes. I needed a lot of help from my colleagues to complete my tasks.","""Well, as a Junior Marketing Coordinator, I faced a significant shift when our company decided to move from traditional to digital marketing. Initially, I had limited experience with digital tools and strategies, which made the transition quite challenging. I attended several online webinars to get up to speed and tried to follow the new procedures, though I didn't fully grasp them at first. This led to some struggles and mistakes along the way. Thankfully, my colleagues were incredibly supportive, and with their help, I managed to complete my tasks. Have you ever experienced a similar shift in your career?""",1,2,2,4,2,3,2,4,2,4
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.","Describe a work situation when you interacted with people from different cultural, social, and economic backgrounds. Were you effective? How?","Interviewee's Role:
- Customer Service Representative

The Situation:
- Worked in a call center with a diverse customer base

The Interviewee's Challenge:
- Struggled to understand different accents and cultural references
- Found it difficult to relate to customers from various backgrounds

Action(s) that the Interviewee Took:
- Relied heavily on scripted responses
- Avoided engaging in deeper conversations to prevent misunderstandings

Final Result:
- Managed to resolve basic issues but received low customer satisfaction scores
- Feedback indicated a lack of empathy and cultural sensitivity","I was a Customer Service Representative in a call center with a diverse customer base. I struggled with different accents and cultural references, making it hard to relate to customers. I relied on scripted responses and avoided deeper conversations to prevent misunderstandings. This approach helped me resolve basic issues, but my customer satisfaction scores were low. Feedback showed I lacked empathy and cultural sensitivity.","""In my role as a Customer Service Representative, I worked in a call center with a diverse customer base. Initially, I struggled with understanding different accents and cultural references, which made it challenging to relate to customers from various backgrounds. I relied heavily on scripted responses and avoided deeper conversations to prevent misunderstandings. While I managed to resolve basic issues, my customer satisfaction scores were low. Feedback indicated that I lacked empathy and cultural sensitivity. This experience taught me the importance of cultural awareness and the need to improve my communication skills. Have you ever faced a similar challenge in your career?""",1,1,1,2,2,2,2,2,2,2
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.","How have you remained effective in your job when you experienced changes such as reorganization, a new supervisor, new procedures, legislative changes, or conflicting priorities?","Interviewee's Role:
- Customer Service Representative

The Situation:
- Company underwent a major reorganization

The Interviewee's Challenge:
- Adjusting to a new supervisor and new procedures

Action(s) that the Interviewee Took:
- Attended a few training sessions
- Tried to follow the new procedures but found them confusing

Final Result:
- Struggled to keep up with the changes
- Performance metrics declined
- Required additional support from colleagues and supervisor","When the company went through a major reorganization, I had to adjust to a new supervisor and new procedures. I attended a few training sessions and tried to follow the new procedures, but I found them confusing. I struggled to keep up with the changes, and my performance metrics declined. I needed additional support from my colleagues and supervisor to get back on track.","""Well, in my role as a Customer Service Representative, our company went through a major reorganization. I had to adjust to a new supervisor and new procedures. Initially, I attended a few training sessions and tried to follow the new procedures, but I found them quite confusing. Have you ever experienced something like that? It was challenging, and my performance metrics did decline. I had to rely on additional support from my colleagues and supervisor. It was a tough period, but it taught me the importance of teamwork and seeking help when needed. How do you handle such changes?""",2,2,2,3,2,2,2,2,2,3
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.",What strategies would you use in a small group meeting if there were divergent opinions or solutions proposed to solve a problem?,"Interviewee's Role:
- Junior Project Manager

The Situation:
- Team meeting to decide on the best approach for a new project

The Interviewee's Challenge:
- Team members had conflicting opinions on the project strategy

Action(s) that the Interviewee Took:
- Listened to all opinions without intervening
- Suggested a vote to decide the best approach

Final Result:
- Decision was made, but some team members felt their opinions were not fully considered
- Project faced delays due to lack of consensus and buy-in from all team members","In a small group meeting, if there were divergent opinions, I'd listen to all opinions without intervening. Then, I'd suggest a vote to decide the best approach. This way, everyone gets a say, and we can move forward quickly. However, I've seen that this can lead to some team members feeling their opinions weren't fully considered, which can cause delays and lack of consensus. So, while voting is efficient, it’s important to ensure everyone feels heard to avoid these issues.","""In my role as a Junior Project Manager, I encountered a situation where our team had conflicting opinions on the strategy for a new project. During the meeting, I made sure to listen to all opinions without intervening, showing my engagement through positive non-verbal signals. To move forward, I suggested we take a vote to decide the best approach. While this led to a decision, some team members felt their opinions weren't fully considered, which caused delays due to a lack of consensus and buy-in. How do you typically handle such situations to ensure everyone feels heard and valued?""",3,2,3,2,3,2,4,2,3,2
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.",Have you ever had the primary mission of your job or a task change completely in a short period of time? What did you do?,"Interviewee's Role:
- Marketing Coordinator

The Situation:
- Company decided to pivot from a product-based to a service-based business model

The Interviewee's Challenge:
- Had to quickly adapt marketing strategies to align with the new business model

Action(s) that the Interviewee Took:
- Struggled to understand the new service offerings
- Continued using old marketing materials for a while

Final Result:
- Marketing campaigns were not effective initially
- Required significant input from senior team members to eventually align strategies","Yes, I was a Marketing Coordinator when our company switched from a product-based to a service-based model. I had to quickly adapt our marketing strategies. At first, I struggled to understand the new services and continued using old marketing materials. This made our campaigns ineffective. It took significant input from senior team members to eventually align our strategies with the new business model.","""Yes, I have. As a Marketing Coordinator, our company decided to pivot from a product-based to a service-based business model. Initially, I struggled to understand the new service offerings and continued using old marketing materials for a while. It was a challenging period, and our marketing campaigns were not effective at first. However, with significant input from senior team members, we eventually aligned our strategies. Have you ever experienced a sudden change like that in your role? It can be quite the learning experience, don't you think?""",2,2,2,2,3,2,2,3,2,3
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","All of us are surprised occasionally to discover that the services we are performing for clients are
not working. What steps did you take to correct a situation like this?","Interviewee's Role:
- Customer Support Representative

The Situation:
- Client reported that the software was not functioning as expected.

The Interviewee's Challenge:
- Difficulty in understanding the client's technical issue.
- Limited knowledge of the software's advanced features.

Action(s) that the Interviewee Took:
- Asked the client to describe the problem again.
- Referred the issue to a more experienced colleague.

Final Result:
- The issue was eventually resolved by the colleague.
- The client experienced a delay in getting their problem fixed.","I was a Customer Support Representative. A client reported that the software wasn't working as expected. I had trouble understanding the technical issue and didn't know much about the advanced features. I asked the client to describe the problem again and then referred the issue to a more experienced colleague. The colleague eventually resolved the issue, but the client experienced a delay in getting their problem fixed.","""Well, in my role as a Customer Support Representative, there was a time when a client reported that the software wasn't functioning as expected. I remember feeling a bit challenged because I had difficulty understanding the client's technical issue and my knowledge of the software's advanced features was limited. So, I asked the client to describe the problem again, hoping to get more clarity. When it became clear that I needed more expertise, I referred the issue to a more experienced colleague. Although this caused a delay, the issue was eventually resolved, and the client was satisfied. Have you ever encountered a situation where you needed to rely on a colleague's expertise?""",1,2,2,2,2,2,2,2,2,3
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Using accurate information obtained from expert sources is the best information. What sources
of information do you use in your job?","Interviewee's Role:
- Marketing Coordinator

The Situation:
- Tasked with creating a marketing strategy for a new product launch.

The Interviewee's Challenge:
- Limited experience in market research.
- Uncertainty about the most reliable sources of information.

Action(s) that the Interviewee Took:
- Relied heavily on a few popular marketing blogs.
- Consulted with colleagues who had some experience in marketing.
- Used outdated internal reports for market analysis.

Final Result:
- Strategy lacked depth and missed key market trends.
- Product launch did not meet sales targets.
- Feedback indicated the need for more comprehensive research and better sources.","As a Marketing Coordinator, I had to create a marketing strategy for a new product launch. I didn't have much experience in market research and wasn't sure about the best sources. I relied on a few popular marketing blogs, consulted with colleagues who had some experience, and used outdated internal reports. The strategy lacked depth and missed key market trends. The product launch didn't meet sales targets. Feedback showed I needed more comprehensive research and better sources.","""In my role as a Marketing Coordinator, I was once tasked with creating a marketing strategy for a new product launch. At the time, I had limited experience in market research and was uncertain about the most reliable sources of information. I relied heavily on a few popular marketing blogs, consulted with colleagues who had some experience, and used outdated internal reports for market analysis. Unfortunately, the strategy lacked depth and missed key market trends, leading to a product launch that didn't meet sales targets. The feedback highlighted the need for more comprehensive research and better sources. Have you ever faced a similar challenge in your career?""",1,1,2,2,2,2,2,2,2,2
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Describe the sources of information you have used to accomplish a project within the last 12
months. What did you do with the information?","Interviewee's Role:
- Junior Marketing Analyst

The Situation:
- Tasked with creating a market analysis report for a new product launch.

The Interviewee's Challenge:
- Limited experience in conducting market research.
- Unfamiliar with the most reliable sources of information.

Action(s) that the Interviewee Took:
- Relied primarily on a few outdated online articles.
- Did not consult industry reports or market research databases.
- Failed to verify the credibility of the sources used.

Final Result:
- Produced a report with several inaccuracies.
- The report lacked depth and was not well-received by the team.
- Required significant revisions and additional input from more experienced colleagues.","I was a Junior Marketing Analyst and had to create a market analysis report for a new product launch. I had limited experience and wasn't familiar with the best sources. I used a few outdated online articles and didn't check industry reports or databases. I also didn't verify the credibility of the sources. The report I produced had several inaccuracies, lacked depth, and wasn't well-received by the team. It needed significant revisions and more input from experienced colleagues.","""In my role as a Junior Marketing Analyst, I was tasked with creating a market analysis report for a new product launch. With limited experience in market research, I initially relied on a few outdated online articles. I didn't consult industry reports or market research databases, and I failed to verify the credibility of the sources I used. As a result, the report contained several inaccuracies and lacked depth. It wasn't well-received by the team and required significant revisions with input from more experienced colleagues. This experience taught me the importance of using reliable sources and verifying information. Have you ever faced a similar challenge in your career?""",1,1,1,1,1,2,1,2,1,2
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Describe a situation in which you had potential barriers to success in a project. How did you
overcome the barriers? Did you succeed?","Interviewee's Role:
- Junior Marketing Coordinator

The Situation:
- Assigned to lead a small team for a new product launch campaign

The Interviewee's Challenge:
- Limited budget and resources
- Team members had conflicting schedules
- Lack of experience in leading a project

Action(s) that the Interviewee Took:
- Tried to manage the budget by cutting costs on essential items
- Attempted to coordinate team meetings without considering everyone's availability
- Relied heavily on team members for decision-making

Final Result:
- Campaign was delayed due to poor coordination
- Budget constraints led to a less impactful campaign
- Overall, the project did not meet the initial success metrics","I was a Junior Marketing Coordinator leading a small team for a new product launch campaign. We had a limited budget and resources, and team members had conflicting schedules. I also lacked experience in leading a project. I tried to manage the budget by cutting costs on essential items and attempted to coordinate team meetings without considering everyone's availability. I relied heavily on team members for decision-making. The campaign was delayed due to poor coordination, and budget constraints led to a less impactful campaign. Overall, the project did not meet the initial success metrics.","""Well, as a Junior Marketing Coordinator, I was tasked with leading a small team for a new product launch campaign. We faced several challenges: a limited budget, conflicting schedules among team members, and my own lack of experience in leading projects. I tried to manage the budget by cutting costs on essential items and attempted to coordinate meetings without fully considering everyone's availability. I also relied heavily on my team for decision-making. Unfortunately, the campaign was delayed due to poor coordination, and budget constraints led to a less impactful campaign. Ultimately, we didn't meet our initial success metrics. But, it was a valuable learning experience. Have you ever faced a similar situation?""",1,1,2,2,2,2,2,2,2,2
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Recall a difficult work problem you have encountered within the last 12 months. Explain how you
identified the critical issues. What solutions did you develop?","Interviewee's Role:
- Junior Marketing Analyst

The Situation:
- Tasked with increasing engagement on the company's social media platforms.

The Interviewee's Challenge:
- Noticed a significant drop in user interaction and engagement rates over the past few months.

Action(s) that the Interviewee Took:
- Conducted a brief review of recent posts.
- Asked a few colleagues for their opinions on the content.

Final Result:
- Engagement rates remained low.
- No significant changes were implemented.
- The issue persisted without a clear resolution.","I’m a Junior Marketing Analyst. I was tasked with increasing engagement on our social media platforms. I noticed a significant drop in user interaction and engagement rates over the past few months. I conducted a brief review of recent posts and asked a few colleagues for their opinions on the content. Despite these efforts, engagement rates remained low. No significant changes were implemented, and the issue persisted without a clear resolution.","""In my role as a Junior Marketing Analyst, I was tasked with increasing engagement on our social media platforms. Over the past few months, I noticed a significant drop in user interaction. To identify the critical issues, I conducted a brief review of recent posts and asked a few colleagues for their opinions on the content. Despite these efforts, engagement rates remained low, and no significant changes were implemented. The issue persisted without a clear resolution. Have you ever encountered a similar challenge in your experience?""",1,1,2,2,2,2,2,2,2,2
