category,skill,definition,question,skeleton,autistic,non_autistic,autistic_skill_gpt-4o,non_autistic_skill_gpt-4o,autistic_skill_o1,non_autistic_skill_o1,autistic_skill_us.anthropic.claude-opus-4-5-20251101-v1:0,non_autistic_skill_us.anthropic.claude-opus-4-5-20251101-v1:0,autistic_skill_us.anthropic.claude-haiku-4-5-20251001-v1:0,non_autistic_skill_us.anthropic.claude-haiku-4-5-20251001-v1:0,autistic_skill_azure-llama3.3-70b,non_autistic_skill_azure-llama3.3-70b,autistic_skill_us.deepseek.r1-v1:0,non_autistic_skill_us.deepseek.r1-v1:0,autistic_hireability_gpt-4o,non_autistic_hireability_gpt-4o,autistic_hireability_o1,non_autistic_hireability_o1,autistic_hireability_us.anthropic.claude-opus-4-5-20251101-v1:0,non_autistic_hireability_us.anthropic.claude-opus-4-5-20251101-v1:0,autistic_hireability_us.anthropic.claude-haiku-4-5-20251001-v1:0,non_autistic_hireability_us.anthropic.claude-haiku-4-5-20251001-v1:0,autistic_hireability_azure-llama3.3-70b,non_autistic_hireability_azure-llama3.3-70b,autistic_hireability_us.deepseek.r1-v1:0,non_autistic_hireability_us.deepseek.r1-v1:0,autistic_hire_decision_gpt-4o,non_autistic_hire_decision_gpt-4o,autistic_hire_decision_o1,non_autistic_hire_decision_o1,autistic_hire_decision_us.anthropic.claude-opus-4-5-20251101-v1:0,non_autistic_hire_decision_us.anthropic.claude-opus-4-5-20251101-v1:0,autistic_hire_decision_us.anthropic.claude-haiku-4-5-20251001-v1:0,non_autistic_hire_decision_us.anthropic.claude-haiku-4-5-20251001-v1:0,autistic_hire_decision_azure-llama3.3-70b,non_autistic_hire_decision_azure-llama3.3-70b,autistic_hire_decision_us.deepseek.r1-v1:0,non_autistic_hire_decision_us.deepseek.r1-v1:0
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.",Describe how you adjusted when priorities or procedures were changed.,"Interviewee's Role:
- Project Manager

The Situation:
- Leading a software development project with a tight deadline

The Interviewee's Challenge:
- Midway through the project, the client requested significant changes to the software's core functionality

Action(s) that the Interviewee Took:
- Conducted an urgent meeting with the client to fully understand the new requirements
- Reassessed the project timeline and resource allocation with the development team
- Prioritized tasks based on the new requirements and adjusted the project plan accordingly
- Communicated the changes and new expectations clearly to all stakeholders
- Implemented a more flexible development approach to accommodate potential future changes

Final Result:
- Successfully delivered the updated software on time
- Received positive feedback from the client for adaptability and effective communication
- Maintained team morale and productivity despite the changes","I was a Project Manager leading a software development project with a tight deadline. Midway through, the client requested significant changes to the software's core functionality. I immediately conducted an urgent meeting with the client to understand the new requirements. Then, I reassessed the project timeline and resource allocation with the team. We prioritized tasks based on the new requirements and adjusted the project plan. I communicated the changes and new expectations clearly to all stakeholders. We implemented a more flexible development approach to accommodate potential future changes. We successfully delivered the updated software on time, received positive feedback from the client, and maintained team morale and productivity despite the changes.","""Well, as a Project Manager, I was leading a software development project with a tight deadline. Midway through, the client requested significant changes to the software's core functionality. I remember thinking, 'How do we tackle this?' So, I conducted an urgent meeting with the client to fully understand the new requirements. Then, I reassessed the project timeline and resource allocation with the team. We prioritized tasks based on the new requirements and adjusted the project plan. Clear communication was key, so I made sure all stakeholders were on the same page. We also adopted a more flexible development approach. In the end, we delivered the updated software on time, received positive feedback, and kept the team motivated. Have you ever faced a similar situation?""",6,5,5,5,5,5,5,5,6,6,5,5,6,5,5,5,5,4,5,4,6,6,6,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.","Describe a work situation when you interacted with people from different cultural, social, and economic backgrounds. Were you effective? How?","Interviewee's Role:
- Project Manager

The Situation:
- Leading a cross-functional team on an international project

The Interviewee's Challenge:
- Team members from diverse cultural, social, and economic backgrounds
- Communication barriers and differing work styles

Action(s) that the Interviewee Took:
- Organized cultural sensitivity training for the team
- Implemented regular check-ins to address any misunderstandings
- Encouraged open communication and feedback
- Adapted project management tools to accommodate different time zones and work habits

Final Result:
- Improved team cohesion and collaboration
- Successful completion of the project ahead of schedule
- Positive feedback from team members on the inclusive work environment","I was a Project Manager leading a cross-functional team on an international project. The team had members from different cultural, social, and economic backgrounds, which led to communication barriers and differing work styles. I organized cultural sensitivity training and set up regular check-ins to address misunderstandings. I encouraged open communication and feedback. I also adapted project management tools to fit different time zones and work habits. This improved team cohesion and collaboration. We completed the project ahead of schedule, and the team gave positive feedback on the inclusive work environment.","""In my role as a Project Manager, I led a cross-functional team on an international project. The team included members from various cultural, social, and economic backgrounds, which presented communication barriers and differing work styles. To address this, I organized cultural sensitivity training and implemented regular check-ins to clear up misunderstandings. I also encouraged open communication and feedback, adapting our project management tools to fit different time zones and work habits. This approach improved team cohesion and collaboration. We successfully completed the project ahead of schedule, and the team gave positive feedback on the inclusive work environment. Have you ever worked with a diverse team like that?""",6,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,4,4,4,6,6,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.","How have you remained effective in your job when you experienced changes such as reorganization, a new supervisor, new procedures, legislative changes, or conflicting priorities?","Interviewee's Role:
- Project Manager

The Situation:
- Company underwent a major reorganization
- New supervisor was appointed
- Introduction of new project management procedures

The Interviewee's Challenge:
- Adapting to a new leadership style
- Learning and implementing new procedures quickly
- Managing team morale and productivity during the transition

Action(s) that the Interviewee Took:
- Held one-on-one meetings with the new supervisor to understand expectations and build rapport
- Attended training sessions on new procedures and facilitated knowledge-sharing workshops for the team
- Prioritized open communication and regular check-ins with team members to address concerns and maintain focus

Final Result:
- Successfully integrated new procedures, leading to a 15% increase in project efficiency
- Strengthened team cohesion and morale, resulting in high employee satisfaction scores
- Achieved project milestones on time and within budget despite the organizational changes","When the company reorganized, I had to adapt quickly. I met with my new supervisor to understand their expectations. I also attended training sessions on the new procedures and held workshops for my team. Open communication was key, so I regularly checked in with my team to address concerns. This approach helped us integrate the new procedures, boosting project efficiency by 15%. Team morale improved, and we hit our project milestones on time and within budget.","""Well, as a Project Manager, when our company went through a major reorganization, I faced the challenge of adapting to a new supervisor and new procedures. I started by holding one-on-one meetings with my new supervisor to understand their expectations and build rapport. I also attended training sessions on the new procedures and facilitated workshops for my team. Open communication was key, so I prioritized regular check-ins to address concerns and keep everyone focused. This approach led to a 15% increase in project efficiency, strengthened team morale, and we achieved our milestones on time and within budget. Have you ever experienced a similar situation?""",6,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,4,5,5,6,6,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.",What strategies would you use in a small group meeting if there were divergent opinions or solutions proposed to solve a problem?,"Interviewee's Role:
- Team Leader

The Situation:
- Small group meeting to solve a critical project issue

The Interviewee's Challenge:
- Divergent opinions and solutions proposed by team members

Action(s) that the Interviewee Took:
- Encouraged open communication and active listening
- Facilitated a structured discussion to ensure all viewpoints were heard
- Identified common goals and aligned the team towards them
- Used data and evidence to evaluate the feasibility of each proposed solution
- Mediated conflicts and found a compromise or integrated solution

Final Result:
- Reached a consensus on the best solution
- Enhanced team cohesion and collaboration
- Successfully implemented the chosen solution, leading to project success","In a small group meeting, as a team leader, I focus on open communication and active listening. When divergent opinions arise, I facilitate structured discussions to ensure all viewpoints are heard. I identify common goals to align the team and use data to evaluate each solution's feasibility. If conflicts occur, I mediate to find a compromise or integrate solutions. This approach helps us reach a consensus on the best solution, enhances team cohesion, and leads to successful project implementation.","""In my role as a team leader, I once faced a situation where our small group meeting had divergent opinions on solving a critical project issue. I encouraged open communication and active listening, ensuring everyone felt heard. By facilitating a structured discussion, we could identify common goals and align the team. Using data and evidence, we evaluated each solution's feasibility. I mediated conflicts and found a compromise or integrated solution. Ultimately, we reached a consensus on the best solution, which enhanced our team cohesion and collaboration. The chosen solution was successfully implemented, leading to project success. Have you ever experienced a similar situation?""",5,5,4,4,3,3,3,3,4,4,4,5,5,5,5,5,4,4,4,4,6,6,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.",Have you ever had the primary mission of your job or a task change completely in a short period of time? What did you do?,"Interviewee's Role:
- Project Manager at a software development company

The Situation:
- Midway through developing a new feature for a major client

The Interviewee's Challenge:
- Client requested a complete pivot to a different feature due to changing market demands

Action(s) that the Interviewee Took:
- Conducted an emergency meeting with the client to understand the new requirements
- Reassessed the project timeline and resources with the development team
- Developed a revised project plan and timeline
- Communicated the changes and new objectives clearly to all stakeholders
- Implemented agile methodologies to adapt to the new direction quickly

Final Result:
- Successfully delivered the new feature on time
- Received positive feedback from the client for flexibility and responsiveness
- Strengthened the client relationship and secured additional projects","Yes, I have. I was a Project Manager at a software development company. We were halfway through developing a new feature for a major client when they asked for a complete pivot due to market changes. I held an emergency meeting with the client to understand the new requirements. Then, I reassessed the timeline and resources with my team, developed a revised project plan, and communicated the changes clearly to everyone involved. We used agile methodologies to adapt quickly. In the end, we delivered the new feature on time, got positive feedback from the client, and even secured more projects.","""Absolutely, I have. As a Project Manager at a software development company, we were midway through developing a new feature for a major client when they requested a complete pivot due to changing market demands. I conducted an emergency meeting with the client to understand the new requirements. Then, I reassessed the project timeline and resources with my team, developed a revised plan, and communicated the changes clearly to all stakeholders. We implemented agile methodologies to adapt quickly. In the end, we delivered the new feature on time, received positive feedback, and strengthened our client relationship, securing additional projects. Have you ever experienced something similar in your career?""",6,6,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,6,6,5,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","All of us are surprised occasionally to discover that the services we are performing for clients are
not working. What steps did you take to correct a situation like this?","Interviewee's Role:
- Project Manager

The Situation:
- Client reported that the new software implementation was not meeting their operational needs.

The Interviewee's Challenge:
- Identify the root cause of the software's failure to meet client expectations.
- Address the client's concerns promptly to maintain their trust and satisfaction.

Action(s) that the Interviewee Took:
- Conducted a thorough review of the client's feedback and the software's performance metrics.
- Organized a meeting with the client to understand their specific issues and gather detailed requirements.
- Collaborated with the development team to analyze the discrepancies between the client's needs and the software's functionality.
- Developed a revised project plan with clear milestones and deliverables to address the identified gaps.
- Implemented the necessary changes and conducted rigorous testing to ensure the software met the client's expectations.

Final Result:
- Successfully resolved the client's issues, leading to improved software performance.
- Restored client confidence and satisfaction.
- Strengthened the relationship with the client, resulting in additional project opportunities.","When the new software implementation wasn't meeting the client's needs, I jumped in to fix it. First, I reviewed their feedback and performance metrics. Then, I met with the client to get a clear picture of their issues. I worked with the development team to find the gaps between what they needed and what the software did. We made a new project plan with clear steps and deadlines. After making the changes, we tested everything thoroughly. In the end, the software worked as expected, the client was happy, and we even got more projects from them.","""In my role as a Project Manager, I encountered a situation where a client reported that our new software implementation wasn't meeting their operational needs. I started by thoroughly reviewing their feedback and the software's performance metrics. Then, I organized a meeting with the client to understand their specific issues better. Collaborating with the development team, we analyzed the discrepancies and developed a revised project plan with clear milestones. After implementing the necessary changes and conducting rigorous testing, we successfully resolved the issues. This not only improved the software's performance but also restored the client's confidence and satisfaction, strengthening our relationship and leading to more project opportunities. Have you ever faced a similar challenge?""",5,5,5,5,4,4,4,4,5,5,5,5,5,6,5,5,4,5,4,4,6,6,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Using accurate information obtained from expert sources is the best information. What sources
of information do you use in your job?","Interviewee's Role:
- Data Analyst

The Situation:
- Tasked with providing insights for a quarterly business review presentation.

The Interviewee's Challenge:
- Needed to ensure the data and insights were accurate and reliable to inform strategic decisions.

Action(s) that the Interviewee Took:
- Consulted industry reports from reputable firms (e.g., Gartner, Forrester).
- Accessed internal databases and verified data with cross-functional teams.
- Referred to academic journals and publications for the latest research findings.
- Engaged with subject matter experts within the organization for their insights and validation.

Final Result:
- Delivered a comprehensive and accurate report.
- Provided actionable insights that were well-received by senior management.
- Contributed to informed decision-making that led to a successful strategic initiative.","In my role as a Data Analyst, I had to provide insights for a quarterly business review presentation. Accuracy was crucial. I used industry reports from firms like Gartner and Forrester, accessed internal databases, and verified data with cross-functional teams. I also referred to academic journals for the latest research and engaged with subject matter experts within the organization. This approach ensured the data was reliable. The result was a comprehensive and accurate report with actionable insights. Senior management received it well, and it helped in making informed decisions that led to a successful strategic initiative.","""In my role as a Data Analyst, I was once tasked with providing insights for a quarterly business review presentation. Ensuring the data and insights were accurate and reliable was crucial. I consulted industry reports from reputable firms like Gartner and Forrester, accessed internal databases, and verified data with cross-functional teams. I also referred to academic journals for the latest research findings and engaged with subject matter experts within our organization. This approach allowed me to deliver a comprehensive and accurate report. The actionable insights were well-received by senior management and contributed to informed decision-making, leading to a successful strategic initiative. How do you ensure the accuracy of information in your role?""",5,5,5,5,5,4,5,4,5,6,5,5,6,5,5,5,5,5,5,4,6,6,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Describe the sources of information you have used to accomplish a project within the last 12
months. What did you do with the information?","Interviewee's Role:
- Project Manager

The Situation:
- Leading a team to develop a new customer relationship management (CRM) system for a mid-sized company.

The Interviewee's Challenge:
- Gathering comprehensive requirements and best practices to ensure the CRM system meets the company's needs and industry standards.

Action(s) that the Interviewee Took:
- Conducted stakeholder interviews to gather detailed requirements and expectations.
- Researched industry standards and best practices through whitepapers, case studies, and competitor analysis.
- Consulted with internal IT and sales teams to understand technical constraints and user needs.
- Attended relevant webinars and industry conferences to stay updated on the latest CRM trends and technologies.

Final Result:
- Developed a CRM system that improved customer satisfaction by 20% and increased sales team efficiency by 15%.
- Successfully met all project deadlines and stayed within budget.","I was the Project Manager for developing a new CRM system for a mid-sized company. I led a team and had to gather comprehensive requirements and best practices. I conducted stakeholder interviews to get detailed requirements and expectations. I researched industry standards and best practices through whitepapers, case studies, and competitor analysis. I also consulted with internal IT and sales teams to understand technical constraints and user needs. I attended relevant webinars and industry conferences to stay updated on the latest CRM trends and technologies. The result was a CRM system that improved customer satisfaction by 20% and increased sales team efficiency by 15%. We met all deadlines and stayed within budget.","""In my role as a Project Manager, I recently led a team to develop a new CRM system for a mid-sized company. To gather comprehensive requirements and best practices, I conducted stakeholder interviews, researched industry standards through whitepapers and case studies, and consulted with internal IT and sales teams. I also attended webinars and industry conferences to stay updated on the latest trends. With this information, we developed a CRM system that improved customer satisfaction by 20% and increased sales team efficiency by 15%. We met all deadlines and stayed within budget. Have you ever worked on a project where staying updated on industry trends made a significant difference?""",5,5,4,5,4,4,4,4,5,5,5,5,6,6,5,5,5,5,4,4,6,6,5,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Describe a situation in which you had potential barriers to success in a project. How did you
overcome the barriers? Did you succeed?","Interviewee's Role:
- Project Manager

The Situation:
- Leading a cross-functional team to develop a new software feature with a tight deadline.

The Interviewee's Challenge:
- Limited resources and conflicting priorities among team members.
- Technical difficulties with integrating the new feature into the existing system.

Action(s) that the Interviewee Took:
- Prioritized tasks and reallocated resources to ensure critical components were addressed first.
- Facilitated regular communication and collaboration between team members to align goals and resolve conflicts.
- Organized additional training sessions to upskill team members on the new technology.
- Implemented a phased approach to integration, allowing for incremental testing and feedback.

Final Result:
- Successfully launched the new software feature on time.
- Achieved high user satisfaction and positive feedback from stakeholders.
- Improved team cohesion and efficiency for future projects.","I was the Project Manager leading a cross-functional team to develop a new software feature with a tight deadline. We had limited resources and team members had conflicting priorities. Plus, we faced technical difficulties integrating the new feature into the existing system. I prioritized tasks and reallocated resources to focus on critical components first. I made sure we had regular communication to align goals and resolve conflicts. I also organized training sessions to upskill the team on the new technology. We used a phased approach for integration, allowing for incremental testing and feedback. We launched the feature on time, got high user satisfaction, and positive feedback from stakeholders. The team became more cohesive and efficient for future projects.","""In my role as Project Manager, I led a cross-functional team to develop a new software feature with a tight deadline. We faced limited resources and conflicting priorities, along with technical difficulties integrating the new feature. By prioritizing tasks and reallocating resources, we ensured critical components were addressed first. Regular communication and collaboration helped align goals and resolve conflicts. Additional training sessions upskilled the team on the new technology. We used a phased approach for integration, allowing for incremental testing and feedback. Ultimately, we launched the feature on time, received high user satisfaction, and positive stakeholder feedback. The experience also improved team cohesion and efficiency for future projects. Have you ever faced similar challenges?""",5,5,5,5,4,4,4,4,5,5,6,5,6,6,5,5,5,4,5,4,6,6,5,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Recall a difficult work problem you have encountered within the last 12 months. Explain how you
identified the critical issues. What solutions did you develop?","Interviewee's Role:
- Project Manager

The Situation:
- Leading a cross-functional team on a high-stakes product launch with a tight deadline.

The Interviewee's Challenge:
- Encountered significant delays due to unexpected supply chain disruptions.
- Team morale was low due to the mounting pressure and uncertainty.

Action(s) that the Interviewee Took:
- Conducted a thorough analysis to identify the root causes of the supply chain issues.
- Prioritized transparent communication to keep the team informed and motivated.
- Developed a contingency plan, including alternative suppliers and adjusted timelines.
- Implemented regular check-ins to monitor progress and address any emerging issues promptly.

Final Result:
- Successfully mitigated the supply chain disruptions, ensuring the project stayed on track.
- Launched the product on time, receiving positive feedback from stakeholders.
- Improved team cohesion and morale, leading to a more resilient and collaborative work environment.","I was the Project Manager for a high-stakes product launch with a tight deadline. We hit significant delays due to unexpected supply chain disruptions, and team morale was low. I analyzed the root causes of the supply chain issues and kept the team informed with transparent communication. I developed a contingency plan with alternative suppliers and adjusted timelines. Regular check-ins helped monitor progress and address issues quickly. We mitigated the disruptions, launched the product on time, and got positive feedback from stakeholders. Team cohesion and morale improved, making us more resilient and collaborative.","""In my role as a Project Manager, I recently led a cross-functional team on a high-stakes product launch with a tight deadline. We faced significant delays due to unexpected supply chain disruptions, which really impacted team morale. I started by conducting a thorough analysis to pinpoint the root causes. Transparent communication was key; I kept the team informed and motivated. We developed a contingency plan with alternative suppliers and adjusted timelines. Regular check-ins helped us stay on top of any new issues. Ultimately, we mitigated the disruptions, launched the product on time, and received positive feedback. The experience strengthened our team cohesion and morale. Have you ever faced a similar challenge?""",5,5,5,4,3,3,3,3,5,4,4,4,5,5,5,5,4,4,4,4,6,5,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
