category,skill,definition,question
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.",Describe how you adjusted when priorities or procedures were changed.
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.","Describe a work situation when you interacted with people from different cultural, social, and economic backgrounds. Were you effective? How?"
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.","How have you remained effective in your job when you experienced changes such as reorganization, a new supervisor, new procedures, legislative changes, or conflicting priorities?"
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.",What strategies would you use in a small group meeting if there were divergent opinions or solutions proposed to solve a problem?
hiring,Adaptability,"Maintains effectiveness when experiencing major changes in work tasks or the work
environment; adjusts effectively to work within new work structures, processes, requirements, or
cultures.",Have you ever had the primary mission of your job or a task change completely in a short period of time? What did you do?
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","All of us are surprised occasionally to discover that the services we are performing for clients are
not working. What steps did you take to correct a situation like this?"
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Using accurate information obtained from expert sources is the best information. What sources
of information do you use in your job?"
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Describe the sources of information you have used to accomplish a project within the last 12
months. What did you do with the information?"
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Describe a situation in which you had potential barriers to success in a project. How did you
overcome the barriers? Did you succeed?"
hiring,Analytical Thinking,"Identifies issues; obtains relevant information, relates and compares data from different
sources, and identifies alternative solutions.","Recall a difficult work problem you have encountered within the last 12 months. Explain how you
identified the critical issues. What solutions did you develop?"
hiring,Building Work Relationships,"Works effectively with others, outside the line of formal authority, to accomplish organization
goals and to identify and resolve problem.","Describe how you handled a problem relationship with someone from another work unit, division
or agency."
hiring,Building Work Relationships,"Works effectively with others, outside the line of formal authority, to accomplish organization
goals and to identify and resolve problem.",Explain how you worked with someone outside your immediate work group to accomplish a common goal
hiring,Building Work Relationships,"Works effectively with others, outside the line of formal authority, to accomplish organization
goals and to identify and resolve problem.",How have you identified and resolved a problem with others outside your normal line of authority?
hiring,Building Work Relationships,"Works effectively with others, outside the line of formal authority, to accomplish organization
goals and to identify and resolve problem.","Discuss a situation in which you were assigned to work in a group and had to share your knowledge, resources, etc. with the group and they had to share theirs with you."
hiring,Building Work Relationships,"Works effectively with others, outside the line of formal authority, to accomplish organization
goals and to identify and resolve problem.",Describe a situation in which you and another member of a work group had different opinions about a topic. What happened?
hiring,Career and/or Talent Development,Plans and supports the development of others using a competency based system. Identifies skills and abilities to fulfill current or future job/role responsibilities more effectively.,"If you or someone else in your work unit were to be absent for an extended period of time, how would their work be accomplished?"
hiring,Career and/or Talent Development,Plans and supports the development of others using a competency based system. Identifies skills and abilities to fulfill current or future job/role responsibilities more effectively.,Have any of your subordinates ever been promoted to a position of more responsibility?
hiring,Career and/or Talent Development,Plans and supports the development of others using a competency based system. Identifies skills and abilities to fulfill current or future job/role responsibilities more effectively.,Describe your least effective employee’s weaknesses and what you have done to strengthen them.
hiring,Career and/or Talent Development,Plans and supports the development of others using a competency based system. Identifies skills and abilities to fulfill current or future job/role responsibilities more effectively.,Do you have a training program or a development plan for your employees? Describe it.
hiring,Career and/or Talent Development,Plans and supports the development of others using a competency based system. Identifies skills and abilities to fulfill current or future job/role responsibilities more effectively.,Give some examples of times when you delegated projects to employees to provide them with opportunities to develop additional skills. Did they develop them? Why or why not?
